timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks_event_reasons.active, utilization.gpu [%]
2026/05/27 19:31:29.005, 43, 10.50, 2411, 0x0000000000000000, 0
2026/05/27 19:31:30.006, 43, 10.43, 2411, 0x0000000000000000, 0
2026/05/27 19:31:31.006, 43, 10.45, 2411, 0x0000000000000000, 0
2026/05/27 19:31:32.007, 43, 10.53, 2411, 0x0000000000000000, 0
2026/05/27 19:31:33.007, 43, 10.56, 2411, 0x0000000000000000, 0
2026/05/27 19:31:34.008, 43, 10.47, 2411, 0x0000000000000000, 0
2026/05/27 19:31:35.008, 43, 10.47, 2411, 0x0000000000000000, 0
2026/05/27 19:31:36.009, 43, 10.49, 2411, 0x0000000000000000, 0
2026/05/27 19:31:37.009, 43, 10.51, 2411, 0x0000000000000000, 0
2026/05/27 19:31:38.010, 43, 10.55, 2411, 0x0000000000000000, 0
2026/05/27 19:31:39.010, 43, 10.46, 2411, 0x0000000000000000, 0
2026/05/27 19:31:40.011, 43, 10.45, 2411, 0x0000000000000000, 0
2026/05/27 19:31:41.011, 43, 10.44, 2411, 0x0000000000000000, 0
2026/05/27 19:31:42.012, 43, 10.46, 2411, 0x0000000000000000, 0
2026/05/27 19:31:43.012, 43, 10.58, 2411, 0x0000000000000000, 0
2026/05/27 19:31:44.013, 43, 10.47, 2411, 0x0000000000000000, 0
2026/05/27 19:31:45.013, 43, 10.51, 2411, 0x0000000000000000, 0
2026/05/27 19:31:46.014, 43, 10.48, 2411, 0x0000000000000000, 0
2026/05/27 19:31:47.014, 43, 10.46, 2411, 0x0000000000000000, 0
2026/05/27 19:31:48.015, 43, 10.53, 2411, 0x0000000000000000, 0
2026/05/27 19:31:49.015, 43, 10.51, 2411, 0x0000000000000000, 0
2026/05/27 19:31:50.016, 44, 10.48, 2411, 0x0000000000000000, 0
2026/05/27 19:31:51.016, 44, 10.51, 2411, 0x0000000000000000, 0
2026/05/27 19:31:52.017, 44, 10.46, 2411, 0x0000000000000000, 0
2026/05/27 19:31:53.018, 44, 10.52, 2411, 0x0000000000000000, 0
2026/05/27 19:31:54.018, 44, 10.42, 2411, 0x0000000000000000, 0
2026/05/27 19:31:55.019, 44, 10.46, 2411, 0x0000000000000000, 0
2026/05/27 19:31:56.020, 44, 10.46, 2411, 0x0000000000000000, 0
2026/05/27 19:31:57.020, 44, 10.49, 2411, 0x0000000000000000, 0
2026/05/27 19:31:58.021, 44, 10.54, 2411, 0x0000000000000000, 0
2026/05/27 19:31:59.021, 44, 10.45, 2411, 0x0000000000000000, 0
2026/05/27 19:32:00.022, 44, 10.45, 2411, 0x0000000000000000, 0
2026/05/27 19:32:01.022, 44, 10.55, 2411, 0x0000000000000000, 0
2026/05/27 19:32:02.023, 44, 10.49, 2411, 0x0000000000000000, 0
2026/05/27 19:32:03.024, 44, 10.55, 2411, 0x0000000000000000, 0
2026/05/27 19:32:04.024, 44, 10.46, 2411, 0x0000000000000000, 0
2026/05/27 19:32:05.025, 44, 10.55, 2411, 0x0000000000000000, 0
2026/05/27 19:32:06.026, 44, 10.51, 2411, 0x0000000000000000, 0
2026/05/27 19:32:07.027, 44, 10.41, 2411, 0x0000000000000000, 0
2026/05/27 19:32:08.027, 44, 10.52, 2411, 0x0000000000000000, 0
2026/05/27 19:32:09.028, 44, 10.92, 2411, 0x0000000000000000, 0
